Year,Studio Entertainment[NI 1],Disney Consumer Products[NI 2],Disney Interactive[NI 3][Rev 1],Walt Disney Parks and Resorts,Total
1991,2593.0,724.0,,2794.0,6111
1992,3115.0,1081.0,,3306.0,7502
1993,3673.4,1415.1,,3440.7,8529
1994,4793.0,1798.2,,3463.6,10414
1995,6001.5,2150.0,,3959.8,12525
1996,,,,4502.0,18739
1997,6981.0,3782.0,174.0,5014.0,22473
1998,6849.0,3193.0,260.0,5532.0,22976
1999,6548.0,3030.0,206.0,6106.0,23402
2000,5994.0,2602.0,368.0,6803.0,25402
2001,7004.0,2590.0,,6009.0,25790
2002,6465.0,2440.0,,6691.0,25360
2003,7364.0,2344.0,,6412.0,27061
2004,8713.0,2511.0,,7750.0,30752
2005,7587.0,2127.0,,9023.0,31944
2006,7529.0,2193.0,,9925.0,34285
2007,7491.0,2347.0,,10626.0,35510
2008,7348.0,2415.0,719.0,11504.0,37843
2009,6136.0,2425.0,712.0,10667.0,36149
2010,6701.0,2678.0,761.0,10761.0,38063
2011,6351.0,3049.0,982.0,11797.0,40893
2012,5825.0,3252.0,845.0,12920.0,42278
2013,5979.0,3555.0,1064.0,14087.0,45041
2014,7278.0,3985.0,1299.0,15099.0,48813
2015,7366.0,4499.0,1174.0,16162.0,52465
2016,9441.0,,,16974.0,55632
